id,latitude,longitude,code_postal,region,ville
21800,49.638559301,5.171590495,8110,grand est,carignan
21801,43.534573652,3.122249509,34480,occitanie,cabrerolles
21802,43.140091476,0.5766125510000001,31580,occitanie,loudet
21803,43.786441248,4.034187322,34160,occitanie,campagne
21804,42.984830132,0.6578762410000001,31510,occitanie,lourde
21805,43.618049945,4.063879251,34130,occitanie,candillargues
21806,43.304548028,1.106009921,31430,occitanie,marignac lasclares
21807,43.435599633,3.470732215,34120,occitanie,castelnau de guers
21808,43.394525099,0.885309169,31230,occitanie,martisserre
21809,43.367441052,2.787196738,34210,occitanie,la caunette
21810,43.529547425,1.714280343,31460,occitanie,maureville
21811,49.648597313,4.238321952,8220,grand est,chaumont porcien
21812,43.42362519,3.029153384,34460,occitanie,cazedarnes
21813,43.506606903,1.473530798,31320,occitanie,mervilla
21814,49.648597313,4.238321952,8220,grand est,chaumont porcien
21815,43.809701053,3.091637639,34260,occitanie,ceilhes et rocozels
21816,43.405901388,0.8637746470000001,31230,occitanie,mirambeau
21817,43.649663984,3.461166305,34800,occitanie,ceyras
21818,43.24137354,1.042640057,31220,occitanie,mondavezan
21819,43.602432075,3.048029808,34240,occitanie,combes
21820,43.721754174,1.589296618,31380,occitanie,montastruc la conseillere
21821,43.450990329,3.274991171,34290,occitanie,coulobres
21822,43.363165899,1.713319025,31290,occitanie,montclar lauragais
21823,49.245908298,4.856086658,8250,grand est,conde les autry
21824,43.489201768,2.693635809,34220,occitanie,courniou
21825,43.477740348,1.93104674,31540,occitanie,montegut lauragais
21826,43.540286834,3.702724923,34660,occitanie,cournonsec
21827,43.449980088,1.066969026,31370,occitanie,montgras
21828,49.686339372,4.810194862,8160,grand est,dom le mesnil
21829,43.88067249,3.363066543,34520,occitanie,le cros
21830,43.365080983,1.613001093,31560,occitanie,nailloux
21831,43.35195551,2.93456814,34310,occitanie,cruzy
21832,43.49275488,1.933562226,31540,occitanie,nogaret
21833,49.65341107,4.333326501,8220,grand est,draize
21834,43.43775813,3.258448497,34290,occitanie,espondeilhan
21835,43.397145772,1.021135799,31370,occitanie,le pin murelet
21836,49.825325631,4.345750492,8260,grand est,estrebay
21837,43.53413424,3.772142567,34690,occitanie,fabregues
21838,43.502936481,1.394131788,31120,occitanie,pinsaguel
21839,43.569206252,3.183484732,34600,occitanie,faugeres
21840,43.166855836,1.122204934,31220,occitanie,le plan
21841,49.537042739,4.503739996,8270,grand est,faux
21842,43.494207907,3.723271944,34770,occitanie,gigean
21843,43.319688424,0.951806671,31430,occitanie,polastron
21844,43.639492103,3.57397751,34150,occitanie,gignac
21845,43.520207513,1.6316226180000002,31570,occitanie,preserville
21846,49.776176246,4.96396742,8200,grand est,fleigneux
21847,43.657065684,3.423278662,34800,occitanie,lacoste
21848,43.752111743,1.066356336,31480,occitanie,puyssegur
21849,49.669128822,4.741989381,8160,grand est,flize
21850,43.563533608,3.902143886,34970,occitanie,lattes
21851,43.053209397,0.7184070100000001,31800,occitanie,regades
21852,49.734325521,4.262083383,8290,grand est,le frety
21853,43.61335437,3.869264054,34000,occitanie,montpellier
21854,43.378740594,1.722199828,31290,occitanie,renneville
21855,43.61335437,3.869264054,34070,occitanie,montpellier
21856,43.465443792,1.996737712,31250,occitanie,revel
21857,43.949461096,3.755676464,34190,occitanie,moules et baucels
21858,43.159952671,0.986848328,31360,occitanie,roquefort sur garonne
21859,49.65623521,4.295950373,8220,grand est,givron
21860,43.640292412,4.035800278,34130,occitanie,mudaison
21861,42.818369129,0.5686311900000001,31110,occitanie,saccourvielle
21862,49.291005864,4.855678522,8250,grand est,grandham
21863,43.42153867,3.403978486,34120,occitanie,nezignan l eveque
21864,43.196061981,0.8495134790000001,31420,occitanie,st elix seglan
21865,43.812967467,3.334377403,34700,occitanie,pegairolles de l escalette
21866,43.338483725,0.736318436,31350,occitanie,st ferreol de comminges
21867,49.816680026,4.234545792,8290,grand est,hannappes
21868,43.441398131,2.963203182,34360,occitanie,pierrerue
21869,43.468295593,1.72611632,31290,occitanie,st germier
21870,49.852498727,4.557904761,8150,grand est,harcy
21871,43.58270864,3.055191234,34600,occitanie,le poujol sur orb
21872,43.739176734,1.356794109,31790,occitanie,st jory
21873,43.458159648,2.976816453,34360,occitanie,prades sur vernazobre
21874,43.249361419,1.146751199,31220,occitanie,st julien sur garonne
21875,43.682834079,3.325209463,34700,occitanie,le puech
21876,43.325809943,0.8000211180000001,31230,occitanie,st laurent
21877,49.757071822,4.979742847,8200,grand est,illy
21878,43.454002649,3.237678458,34480,occitanie,puissalicon
21879,43.648726948,1.112151208,31530,occitanie,ste livrade
21880,43.37693475,3.046634915,34620,occitanie,puisserguier
21881,42.838675764,0.555823007,31110,occitanie,st paul d oueil
21882,49.527087581,4.689441676,8130,grand est,lametz
21883,43.856009382,3.263826934,34520,occitanie,les rives
21884,43.306697048,0.824517075,31230,occitanie,salerm
21885,43.628001969,2.991739504,34610,occitanie,rosis
21886,42.833681039,0.60677275,31110,occitanie,salles et pratviel
